"","BB","CC","CS","LT","MM","PS","RS","RWF","SMB","SS","WS"
"2012_4",0,0.00116622281402574,0.000277777777777778,0,0,0.0529627163781625,0.055383192779997,0,0.00288578192040243,0.000277777777777778,0.000555555555555556
"2012_5",0,0.019115004492363,0.0488814016172507,0,0.0564330637915544,0.460790655884996,0,0,0.14122641509434,0,0.00859389038634322
"2012_6",0,0,0.000998003992015968,0,0.000998003992015968,0.0284502423723981,0.000998003992015968,0,0.0929141716566866,0.00159324208725406,0.00318648417450813
"2012_7",0,0,0,0,0,0.0161842170038891,0,0,0.0622015458081032,0.00204918032786885,0.0015015015015015
"2012_8",0,0,0,0,0,0.0166904859126174,0,0,0.0652477201578876,0.00268817204301075,0.00210970464135021
"2012_9",0,0.000669344042838019,0.000669344042838019,0,0,0.0375051144240662,0,0,0.104137618724155,0.000494559841740851,0.000669344042838019
"2012_10",0,0.00316872915742972,0.00195567144719687,0,0,0.0501487422391377,0,0,0.0651590510347572,0,0.000561167227833895
"2012_11",0,0,0.000844594594594595,0,0,0.0384522572022572,0,0,0.0508228499299928,0,0.00162952395095252
"2012_12",0,0,0,0,0,0.0558148919694177,0.00180505415162455,0,0.0247581445570255,0.00151057401812689,0.00512068232137599
"2012_13",0,0,0,0,0,0.0550103122110803,0.00193798449612403,0,0.0773949221250267,0,0.0107567029372022
"2012_14",0,0.00137362637362637,0.00137362637362637,0,0,0.0661118293471235,0,0,0.0551228183581125,0.00147058823529412,0.00137362637362637
"2012_15",0,0,0,0,0,0.0616883116883117,0,0,0.0974025974025974,0,0.00324675324675325
"2012_16",0,0,0,0,0,0.0303030303030303,0,0,0.0562770562770563,0,0.0173160173160173
"2012_17",0,0,0,0,0,0.00459770114942529,0,0,0.0390804597701149,0,0
"2012_18",0,0.00573613766730402,0.0229445506692161,0,0.0152963671128107,0.0803059273422562,0,0,0.0152963671128107,0,0.00382409177820268
"2012_19",0,0.00609756097560976,0.0792682926829268,0,0.00609756097560976,0.0823170731707317,0,0,0.0365853658536585,0,0.00304878048780488
"2012_20",0,0,0.00568181818181818,0,0.00946969696969697,0.0700757575757576,0.00189393939393939,0,0.0946969696969697,0,0
"2012_21",0,0.00189753320683112,0.0094876660341556,0,0.00189753320683112,0.079696394686907,0,0,0.0170777988614801,0,0
"2012_22",0,0,0,0,0,0.0264817150063052,0.00126103404791929,0,0.0378310214375788,0,0.00504413619167718
"2012_23",0,0,0.00103626943005181,0,0.00103626943005181,0.033160621761658,0.00310880829015544,0,0.0259067357512953,0.00103626943005181,0.00207253886010363
"2012_24",0,0.00826446280991736,0.0227272727272727,0,0.00619834710743802,0.0454545454545455,0,0,0.0433884297520661,0,0
"2012_25",0,0.00139470013947001,0.0237099023709902,0,0.0251046025104603,0.0892608089260809,0,0,0.0390516039051604,0,0.00139470013947001
"2012_26",0,0.003003003003003,0.027027027027027,0,0.003003003003003,0.042042042042042,0,0,0.0540540540540541,0,0
"2012_27",0,0.00166666666666667,0.0183333333333333,0,0.0133333333333333,0.108333333333333,0,0,0.0333333333333333,0,0.00166666666666667
"2012_28",0,0.00158730158730159,0.00317460317460317,0,0.0412698412698413,0.0142857142857143,0.00476190476190476,0,0.0222222222222222,0,0
"2012_29",0,0,0,0,0,0.00753295668549906,0.0207156308851224,0,0.0941619585687382,0.00188323917137476,0.00376647834274953
"2012_30",0,0,0,0,0,0.0171673819742489,0.00572246065808298,0,0.121602288984263,0,0.00572246065808298
"2012_31",0,0.00105042016806723,0.0136554621848739,0,0.000525210084033613,0.00682773109243697,0.0435924369747899,0,0.0204831932773109,0.000525210084033613,0.00157563025210084
"2012_32",0,0,0.0165745856353591,0,0,0.0828729281767956,0,0,0.0386740331491713,0,0.0110497237569061
"2013_1",0,0,0,0,0,0.0942760942760943,0,0,0.363636363636364,0.0202020202020202,0
