SITE.N,OLD SITE.N,SITE,HAB,HAB2,HAB3,DEPTH,E.UTM1,N.UTM1,E.UTM2,N.UTM2,ACCUR.H,ELEVAT,,,,,,,,
BEF.LML.212,171,QEF.212,UNK,,,,,,,,,,,,,,,,,
BEF.LML.213,172,QEF.213,UNK,,,,,,,,,,,,,,,,,
BEF.LML.214,173,QEF.214,UNK,,,,,,,,,,,,,,,,,
BEF.LML.216,174,QEF.216,UNK,,,,,,,,,,,,,,,,,
BEF.LML.217,175,QEF.217,UNK,,,,,,,,,,,,,,,,,
BEF.LML.218,176,QEF.218,UNK,,,,,,,,,,,,,,,,,
BEF.LML.224,177,QEF.224,UNK,,,,,,,,,,,,,,,,,
BEF.LML.226,178,QEF.226,UNK,,,,,,,,,,,,,,,,,
BEF.LML.227,179,QEF.227,UNK,,,,,,,,,,,,,,,,,
BEF.LML.228,180,QEF.228,UNK,,,,,,,,,,,,,,,,,
BEF.LML.229,181,QEF.229,UNK,,,,,,,,,,,,,,,,,
BEF.LML.231,182,QEF.231,UNK,,,,,,,,,,,,,,,,,
BEF.LML.232,183,QEF.232,UNK,,,,,,,,,,,,,,,,,
BEF.LML.234,184,QEF.234,UNK,,,,,,,,,,,,,,,,,
BEF.LML.235,185,QEF.235,UNK,,,,,,,,,,,,,,,,,
BEF.LML.236,186,QEF.236,UNK,,,,,,,,,,,,,,,,,
BEF.LML.237,187,QEF.237,UNK,,,,,,,,,,,,,,,,,
BEF.LML.240,188,QEF.240,UNK,,,,,,,,,,,,,,,,,
BEF.LML.241,189,QEF.241,UNK,,,,,,,,,,,,,,,,,
BEF.LML.242,190,QEF.242,UNK,,,,,,,,,,,,,,,,,
BEF.LML.243,191,QEF.243,UNK,,,,,,,,,,,,,,,,,
BEF.LML.244,192,QEF.244,UNK,,,,,,,,,,,,,,,,,
BEF.LML.245,193,QEF.245,UNK,,,,,,,,,,,,,,,,,
BEF.LML.246,194,QEF.246,UNK,,,,,,,,,,,,,,,,,
BEF.LML.248,195,QEF.248,UNK,,,,,,,,,,,,,,,,,
BEF.LML.250,196,QEF.250,UNK,,,,,,,,,,,,,,,,,
BEF.LML.252,197,QEF.252,UNK,,,,,,,,,,,,,,,,,
BEF.LML.253,198,QEF.253,UNK,,,,,,,,,,,,,,,,,
BEF.LML.255,199,QEF.255,UNK,,,,,,,,,,,,,,,,,
BEF.LML.256,200,QEF.256,UNK,,,,,,,,,,,,,,,,,
BEF.LML.257,201,QEF.257,UNK,,,,,,,,,,,,,,,,,
BEF.LML.258,202,QEF.258,UNK,,,,,,,,,,,,,,,,,
BEF.LML.262,203,QEF.262,UNK,,,,,,,,,,,,,,,,,
BEF.LML.263,204,QEF.263,UNK,,,,,,,,,,,,,,,,,
BEF.LML.264,205,QEF.264,UNK,,,,,,,,,,,,,,,,,
BEF.LML.265,206,QEF.265,UNK,,,,,,,,,,,,,,,,,
